category,urgency,sentiment,ticket_id
Billing,High,Negative,TCK001
Technical Issue,Medium,Negative,TCK002
Account Access,Medium,Negative,TCK003
Feature Request,Low,Positive,TCK004
Complaint,High,Negative,TCK005
General Inquiry,Low,Neutral,TCK006
Billing,Low,Neutral,TCK007
Technical Issue,Medium,Negative,TCK008
Account Access,Critical,Negative,TCK009
Feature Request,Low,Positive,TCK010
Technical Issue,Critical,Negative,TCK011
Billing,Low,Neutral,TCK012
General Inquiry,Low,Positive,TCK013
Account Access,Medium,Neutral,TCK014
Billing,Low,Neutral,TCK015
Technical Issue,High,Negative,TCK016
Feature Request,Low,Positive,TCK017
Complaint,High,Negative,TCK018
Technical Issue,Medium,Neutral,TCK019
Complaint,Low,Negative,TCK020
Billing | Account Access,High,Negative,TCK021
Technical Issue,Medium,Neutral,TCK022
Billing,Medium,Negative,TCK023
Billing,Medium,Negative,TCK024
Technical Issue,Medium,Negative,TCK025
Billing,Medium,Negative,TCK026
Account Access,High,Negative,TCK027
Feature Request,Medium,Neutral,TCK028
Technical Issue,Medium,Neutral,TCK029
Technical Issue,Medium,Neutral,TCK030
Complaint,High,Negative,TCK031
Technical Issue,Critical,Negative,TCK032
Account Access,Critical,Negative,TCK033
Technical Issue,High,Negative,TCK034
Billing,Critical,Negative,TCK035
Billing,High,Negative,TCK036
Technical Issue,High,Negative,TCK037
General Inquiry,Low,Neutral,TCK038
Account Access,High,Negative,TCK039
General Inquiry,Low,Neutral,TCK040
Resolved,Low,Positive,TCK041
Billing,Low,Negative,TCK042
Complaint,Critical,Negative,TCK043
Billing | Technical Issue,Medium,Negative,TCK044
General Inquiry,Low,Neutral,TCK045
